id,Кличка,Ссылка на профиль,Приют,Город,Порода,Вид,Дата рождения,Пол,В избранном,Уже дома,Забрать домой,Погулять
211,Дарс,https://teddyfood.com/ru/animals/Dars_smr/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-03-20,мальчик,0,1,0,0
212,Дуся,https://teddyfood.com/ru/animals/Dusia_spb/,Республика котов,Санкт-Петербург,Без породы,Кошки,2016-07-04,девочка,8,1,1,1
213,Черныш  (Тима),https://teddyfood.com/ru/animals/Tima/,Республика котов,Санкт-Петербург,Без породы,Кошки,2016-08-08,мальчик,4,1,0,0
214,Луна,https://teddyfood.com/ru/animals/Luna_spb/,Республика котов,Санкт-Петербург,Без породы,Кошки,2014-03-20,девочка,17,1,0,0
215,Лёля,https://teddyfood.com/ru/animals/Lyolya_spb/,Республика котов,Санкт-Петербург,Без породы,Кошки,2016-07-20,девочка,37,1,1,1
216,Бобби,https://teddyfood.com/ru/animals/Bobbi_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-10-10,мальчик,2,1,0,0
217,Дина,https://teddyfood.com/ru/animals/Dina_spb/,Республика котов,Санкт-Петербург,Без породы,Кошки,2016-10-10,девочка,3,1,0,0
218,Клёпа,https://teddyfood.com/ru/animals/Klepa_spb/,Республика котов,Санкт-Петербург,Без породы,Кошки,2013-04-04,девочка,17,1,0,0
219,Янтарь,https://teddyfood.com/ru/animals/Amber/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-04-10,мальчик,7,1,0,0
220,Гейша,https://teddyfood.com/ru/animals/Geisha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2011-04-20,девочка,4,0,0,0
221,Сильвер,https://teddyfood.com/ru/animals/Silver/,Реабилитационный центр ЗОО Дом,Королёв,Без породы,Кошки,2016-07-20,мальчик,4,1,0,1
